CustomerID,Lookalikes
C0001,"[('C0107', 0.9964782864823819), ('C0137', 0.9957765180869117), ('C0191', 0.9899127100545353)]"
C0002,"[('C0142', 0.9884299241693939), ('C0177', 0.9654380340999911), ('C0027', 0.9483152164351558)]"
C0003,"[('C0133', 0.964039249469546), ('C0190', 0.9639833140882225), ('C0174', 0.9496891209487223)]"
C0004,"[('C0113', 0.9884965418977153), ('C0102', 0.9723304617767334), ('C0104', 0.9720314120539585)]"
C0005,"[('C0186', 0.9974357419575456), ('C0159', 0.9969063187106049), ('C0007', 0.9864434391393913)]"
C0006,"[('C0168', 0.9755863133622964), ('C0048', 0.9604629520417328), ('C0187', 0.9579826690562556)]"
C0007,"[('C0159', 0.988157379795302), ('C0005', 0.9864434391393913), ('C0115', 0.9825254215977989)]"
C0008,"[('C0068', 0.9180591870586824), ('C0098', 0.9165545119648819), ('C0139', 0.9131935422256269)]"
C0009,"[('C0198', 0.9896076277189787), ('C0063', 0.9775995260361328), ('C0014', 0.9705909638708721)]"
C0010,"[('C0166', 0.9832073969099685), ('C0199', 0.9736052691979691), ('C0073', 0.9651901017625153)]"
C0011,"[('C0107', 0.9951697074279167), ('C0048', 0.9950526482556818), ('C0001', 0.9888746431138092)]"
C0012,"[('C0153', 0.9871483377367332), ('C0169', 0.9837932547560877), ('C0102', 0.9774502483733768)]"
C0013,"[('C0155', 0.9923580513387563), ('C0102', 0.9873158562241395), ('C0104', 0.9850674318621736)]"
C0014,"[('C0060', 0.9995207754533939), ('C0198', 0.9931966731656732), ('C0063', 0.9858619095830901)]"
C0015,"[('C0020', 0.9934693082233249), ('C0058', 0.9900260723119046), ('C0033', 0.988961562500501)]"
C0016,"[('C0183', 0.9879192687482806), ('C0154', 0.9712034531972535), ('C0117', 0.9619842389761804)]"
C0017,"[('C0124', 0.9843383621656565), ('C0075', 0.9664858521005976), ('C0041', 0.9527399277769558)]"
C0018,"[('C0046', 0.926643765379936), ('C0067', 0.9245401945847511), ('C0122', 0.9239156897349319)]"
C0019,"[('C0172', 0.9972106151413774), ('C0127', 0.9638325313826084), ('C0069', 0.9565138652873344)]"
C0020,"[('C0058', 0.9957115186051936), ('C0033', 0.9944874688710797), ('C0015', 0.9934693082233249)]"
